# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 177 177
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2028.7189544145788 113000.0 1139.3029388429131 3420.8296773046036 2.2833459706559877e-05 1234.4660602152899 4.1128911191760563e-05 163106410448.2737 -10119234.110030957
2032.1580636351325 113000.0 1142.4809764828533 3420.5813773069754 2.2847192947355077e-05 1234.7590156859237 4.113189673936926e-05 163058376352.55228 -10115310.464942664
2035.597172855686 113000.0 1145.6671229640488 3420.332312084563 2.2860947068169457e-05 1235.0512626496647 4.113489192348439e-05 163010200616.40897 -10111375.876309903
2039.0362820762375 113000.0 1148.8613988757133 3420.0824792041553 2.2874722421885183e-05 1235.3428086147135 4.1137896777489225e-05 162961883899.52472 -10107430.31621012
2042.475391296792 113000.0 1152.0638248389587 3419.831876224306 2.2888519163728536e-05 1235.6336617780125 4.1140911334897394e-05 162913425119.45905 -10103473.756649882
2045.9145005173452 113000.0 1155.274421513779 3419.5805006949645 2.2902337638682917e-05 1235.9238297275433 4.114393562935758e-05 162864824039.75497 -10099506.169564782
2049.353609737898 113000.0 1158.4932095950935 3419.328350154784 2.291617818121656e-05 1236.2133206943072 4.114696969468612e-05 162816080126.95792 -10095527.526819289
2052.792718958451 113000.0 1161.720209813211 3419.0754221342427 2.2930040971214593e-05 1236.5021421638412 4.115001356482972e-05 162767193150.82935 -10091537.800206648
2056.2318281790044 113000.0 1164.955442937091 3418.821714154502 2.2943926339757705e-05 1236.7903017777166 4.1153067273879424e-05 162718162704.3504 -10087536.961448746
2059.6709373995573 113000.0 1168.1989297701512 3418.5672237270355 2.295783458496374e-05 1237.0778075029325 4.115613085607532e-05 162668988264.39044 -10083524.982195972
2063.11004662011 113000.0 1171.4506911525968 3418.3119483524933 2.297176599620094e-05 1237.364667100819 4.1159204345820474e-05 162619669192.0019 -10079501.834027117
2066.5491558406625 113000.0 1174.7107479600236 3418.0558855242043 2.2985720751085812e-05 1237.650887993806 4.1162287777638996e-05 162570205509.55762 -10075467.48844924
2069.9882650612167 113000.0 1177.979121106444 3417.799032724713 2.2999699300399306e-05 1237.9364781098568 4.1165381186218e-05 162520596405.79596 -10071421.91689753
2073.427374281769 113000.0 1181.2558315384667 3417.541387425803 2.301370184936022e-05 1238.221445078537 4.1168484606407584e-05 162470841670.76132 -10067365.090735208
2076.8664835023214 113000.0 1184.540900242515 3417.2829470908373 2.3027728615272014e-05 1238.5057965052881 4.1171598073192874e-05 162420940859.0568 -10063296.981253378
2080.305592722875 113000.0 1187.8343482376076 3417.02370917478 2.304177999164568e-05 1238.789539875635 4.117472162169404e-05 162370893528.87567 -10059217.559670918
2083.744701943428 113000.0 1191.1361965830438 3416.7636711188047 2.3055856133691032e-05 1239.0726826521388 4.11778552872315e-05 162320699480.3916 -10055126.79713435
2087.183811163982 113000.0 1194.4464663707186 3416.502830360366 2.3069957399567698e-05 1239.3552327445784 4.118099910520483e-05 162270358040.23547 -10051024.664717712
2090.622920384535 113000.0 1197.7651787302457 3416.241184319697 2.3084084233503776e-05 1239.637197684986 4.118415311125573e-05 162219868420.84073 -10046911.133422444
2094.0620296050874 113000.0 1201.0923548256978 3415.9787304121937 2.3098236623596386e-05 1239.9185846710432 4.118731734111905e-05 162169230790.38123 -10042786.174177255
2097.5011388256403 113000.0 1204.428015860496 3415.715466042644 2.311241508770464e-05 1240.199401310206 4.1190491830692625e-05 162118444368.39993 -10038649.757838007
2100.9402480461936 113000.0 1207.772183070192 3415.4513886029313 2.3126619811442932e-05 1240.4796553045467 4.11936766160652e-05 162067509091.8656 -10034501.85518758
2104.379357266748 113000.0 1211.1248777289875 3415.1864954797793 2.314085106492646e-05 1240.7593538541323 4.1196871733423324e-05 162016424069.4405 -10030342.436935756
2107.8184664873006 113000.0 1214.4861211457755 3414.9207840447402 2.315510931585886e-05 1241.0385045597336 4.120007721917238e-05 161965189245.40604 -10026171.473719101
2111.257575707853 113000.0 1217.8559346657712 3414.6542516611617 2.316939459912269e-05 1241.3171147766077 4.120329310985282e-05 161913803973.94833 -10021988.936100826
2114.6966849284063 113000.0 1221.2343396700453 3414.3868956845986 2.3183707337823687e-05 1241.5951920018852 4.120651944213547e-05 161862267613.74997 -10017794.794570671
2118.1357941489596 113000.0 1224.621357575059 3414.1187134558886 2.319804785864998e-05 1241.8727432317055 4.1209756252905355e-05 161810580474.7225 -10013589.019544795
2121.5749033695124 113000.0 1228.0170098356903 3413.8497023092787 2.321241639931299e-05 1242.149776161506 4.121300357916392e-05 161758741331.16577 -10009371.581365624
2125.0140125900652 113000.0 1231.4213179382496 3413.5798595666606 2.3226813284674382e-05 1242.4262982360738 4.121626145809889e-05 161706750027.25204 -10005142.450301753
2128.4531218106185 113000.0 1234.8343034086283 3413.3091825387564 2.3241238716853007e-05 1242.7023166188576 4.1219529927070256e-05 161654606055.72296 -10000901.59654781
2131.8922310311723 113000.0 1238.2559878055472 3413.037668530536 2.3255693101412584e-05 1242.9778384828026 4.122280902354512e-05 161602309149.62357 -9996648.990224339
2135.3313402517247 113000.0 1241.6863927270751 3412.7653148292884 2.3270176715189793e-05 1243.2528712700748 4.1226098785242066e-05 161549858809.71555 -9992384.601377673
2138.7704494722784 113000.0 1245.1255398024805 3412.492118718145 2.3284689831852352e-05 1243.5274225114158 4.1229399249968116e-05 161497254069.45688 -9988108.399979813
2142.2095586928313 113000.0 1248.5734506996814 3412.2180774649178 2.3299232755991582e-05 1243.8014991200737 4.123271045575384e-05 161444495145.71585 -9983820.35592831
2145.6486679133845 113000.0 1252.030147121055 3411.9431883306106 2.331380569315328e-05 1244.0751080630525 4.123603244075086e-05 161391581668.7686 -9979520.439046137
2149.087777133937 113000.0 1255.4956508071627 3411.667448564043 2.332840914385684e-05 1244.3482571577586 4.123936524329707e-05 161338512391.05414 -9975208.619081559
2152.526886354491 113000.0 1258.9699835281353 3411.3908554007216 2.3343043275634022e-05 1244.6209535949622 4.12427089019306e-05 161285287481.52588 -9970884.865708029
2155.965995575044 113000.0 1262.4531670955475 3411.113406069801 2.3357708364378016e-05 1244.8932038746084 4.1246063455305996e-05 161231906524.18982 -9966549.148524057
2159.4051047955954 113000.0 1265.9452233542688 3410.835097785635 2.3372404752039e-05 1245.165015795293 4.124942894229665e-05 161178368755.66562 -9962201.437053079
2162.8442140161487 113000.0 1269.446174183162 3410.555927755885 2.3387132761063636e-05 1245.4363964124516 4.1252805401897055e-05 161124673885.9207 -9957841.700743351
2166.283323236703 113000.0 1272.9560414983425 3410.275893172311 2.3401892678173573e-05 1245.707352834763 4.125619287333451e-05 161070821570.70154 -9953469.90896782
2169.722432457256 113000.0 1276.474847249454 3409.9949912196503 2.3416684846298456e-05 1245.9778921361544 4.1259591395962054e-05 161016810708.76624 -9949086.031024
2173.161541677809 113000.0 1280.0026134233922 3409.713219069098 2.343150944967112e-05 1246.2480214835266 4.126300100933761e-05 160962641549.83942 -9944690.036133861
2176.6006508983623 113000.0 1283.5393620398827 3409.4305738837243 2.344636691293279e-05 1246.517747925415 4.126642175315879e-05 160908313411.28714 -9940281.893443689
2180.039760118915 113000.0 1287.0851151563693 3409.147052810801 2.3461257577279853e-05 1246.7870785209473 4.126985366735607e-05 160853825790.33588 -9935861.572023991
2183.4788693394694 113000.0 1290.639894862892 3408.8626529899143 2.347618156506534e-05 1247.056020415584 4.127329679199494e-05 160799178189.0734 -9931429.04086935
2186.917978560021 113000.0 1294.2037232865114 3408.577371550292 2.349113930274888e-05 1247.3245808445224 4.127675116730854e-05 160744370113.65005 -9926984.268898316
2190.357087780575 113000.0 1297.776622586185 3408.2912056054524 2.3506131187261258e-05 1247.5927666382822 4.128021683376282e-05 160689401075.30634 -9922527.224953294
2193.7961970011274 113000.0 1301.3586149599869 3408.004152260919 2.3521157441864336e-05 1247.860584640249 4.1283693831963465e-05 160634270938.67093 -9918057.877800407
2197.2353062216803 113000.0 1304.9497226376552 3407.716208609252 2.3536218249659308e-05 1248.1280422230043 4.128718220271636e-05 160578978932.3851 -9913576.196129385
2200.674415442233 113000.0 1308.5499678847846 3407.427371735072 2.3551314084098897e-05 1248.3951463196274 4.12906819869671e-05 160523524348.25217 -9909082.148553444
2204.113524662787 113000.0 1312.1593730009627 3407.1376387054784 2.356644531932094e-05 1248.6619037871592 4.1294193225917405e-05 160467907064.68063 -9904575.70360917
2207.55263388334 113000.0 1315.777960321866 3406.8470065796887 2.3581612136700524e-05 1248.9283219725507 4.1297715960908684e-05 160412126498.98364 -9900056.829756398
2210.9917431038934 113000.0 1319.4057522141375 3406.5554724048397 2.359681489436542e-05 1249.1944074590945 4.1301250233473255e-05 160356182073.56076 -9895525.495378086
2214.4308523244463 113000.0 1323.0427710846998 3406.263033216013 2.36120538283777e-05 1249.460167043679 4.130479608533438e-05 160300073737.20706 -9890981.668780217
2217.869961544999 113000.0 1326.689039370045 3405.9696860378026 2.3627329349468063e-05 1249.7256083204068 4.130835355838761e-05 160243800400.08145 -9886425.31819164
2221.3090707655524 113000.0 1330.3445795420557 3405.6754278808894 2.3642641781916525e-05 1249.990737809034 4.131192269474268e-05 160187361788.82193 -9881856.411764005
2224.7481799861043 113000.0 1334.0094141082373 3405.380255745139 2.3657991452551623e-05 1250.255562473801 4.13155035366863e-05 160130757750.0458 -9877274.917571608
2228.187289206657 113000.0 1337.6835656086914 3405.0841666169486 2.3673378668379424e-05 1250.5200893191354 4.1319096126714724e-05 160073987209.5446 -9872680.803611279
2231.6263984272123 113000.0 1341.3670566186775 3404.7871574734963 2.3688803683561142e-05 1250.7843251950324 4.1322700507482514e-05 160017050081.4858 -9868074.037802272
2235.0655076477647 113000.0 1345.0599097467493 3404.4892252789327 2.3704266854926064e-05 1251.0482771890624 4.132631672184914e-05 159959945475.6274 -9863454.58798615
2238.5046168683175 113000.0 1348.7621476349887 3404.1903669836456 2.371976857361728e-05 1251.31195219264 4.132994481288828e-05 159902673372.9344 -9858822.421926659
2241.9437260888717 113000.0 1352.4737929597031 3403.8905795277456 2.3735309141301295e-05 1251.5753565886112 4.1333584823845884e-05 159845233239.15002 -9854177.507309625
2245.382835309423 113000.0 1356.194868433522 3403.5898598368717 2.3750888827984725e-05 1251.8384977073724 4.133723679819144e-05 159787624372.97128 -9849519.81174281
2248.821944529976 113000.0 1359.92539679748 3403.288204827982 2.3766507993950855e-05 1252.1013825191612 4.13409007795481e-05 159729846250.91614 -9844849.302755833
2252.26105375053 113000.0 1363.665400830796 3402.9856114020954 2.3782166956037835e-05 1252.3640175700243 4.1344576811781155e-05 159671898297.23926 -9840165.947800027
2255.7001629710835 113000.0 1367.4149033434223 3402.6820764500744 2.3797866105267393e-05 1252.6264097942933 4.134826493892819e-05 159613780285.8921 -9835469.714248339
2259.1392721916363 113000.0 1371.1739271809347 3402.377596847677 2.381360573924429e-05 1252.8885661277268 4.135196520525962e-05 159555491479.30933 -9830760.569395205
2262.5783814121887 113000.0 1374.9424952194095 3402.0721694620993 2.382938610962858e-05 1253.1504936560705 4.1355677655199546e-05 159497031431.87854 -9826038.48045644
2266.017490632742 113000.0 1378.720630369382 3401.7657911447322 2.3845207693829738e-05 1253.4121987303545 4.1359402333414185e-05 159438399645.92923 -9821303.414569126
2269.4565998532953 113000.0 1382.5083555760793 3401.458458734256 2.386107075505551e-05 1253.6736881673478 4.136313928477466e-05 159379595972.3304 -9816555.3387915
2272.8957090738486 113000.0 1386.3056938161608 3401.150169058974 2.387697559013945e-05 1253.9349693184445 4.136688855432905e-05 159320619008.7298 -9811794.220102819
2276.3348182944023 113000.0 1390.1126680974849 3400.8409189330123 2.38929225764361e-05 1254.1960487983813 4.1370650187348946e-05 159261469073.78378 -9807020.025403284
2279.773927514955 113000.0 1393.9293014635332 3400.5307051571235 2.3908912107446587e-05 1254.456932917672 4.137442422932014e-05 159202145176.9591 -9802232.721513895
2283.2130367355085 113000.0 1397.7556169906165 3400.219524519484 2.3924944447453386e-05 1254.7176290183195 4.1378210725933315e-05 159142647246.581 -9797432.275176357
2286.6521459560618 113000.0 1401.5916377841495 3399.907373795346 2.394102000117991e-05 1254.9781438979073 4.1382009723088706e-05 159082974360.58105 -9792618.653052952
2290.0912551766132 113000.0 1405.4373869854026 3399.5942497474534 2.3957139093643505e-05 1255.23848423954 4.138582126689143e-05 159023126002.10983 -9787791.821726449
2293.530364397168 113000.0 1409.2928877652157 3399.2801491237824 2.3973302014883092e-05 1255.4986566825714 4.138964540367946e-05 158963101887.36285 -9782951.747699972
2296.9694736177203 113000.0 1413.1581633302849 3398.96506866293 2.3989509109148926e-05 1255.7586680555053 4.139348217995837e-05 158902901282.4224 -9778098.3973969
2300.4085828382745 113000.0 1417.0332369154785 3398.6490050857365 2.400576087157748e-05 1256.018525328143 4.139733164250385e-05 158842523744.04114 -9773231.737160753
2303.847692058827 113000.0 1420.9181317903567 3398.331955100292 2.4022057508927116e-05 1256.278235428392 4.1401193838301115e-05 158781968777.36108 -9768351.733255086
2307.28680127938 113000.0 1424.8128712526523 3398.0139154050303 2.403839939089414e-05 1256.537804560439 4.140506881450769e-05 158721235836.2712 -9763458.351863373
2310.725910499932 113000.0 1428.7174786389805 3397.6948826807384 2.4054786951253193e-05 1256.7972397200992 4.1408956618551165e-05 158660324550.60193 -9758551.559088908
2314.1650197204867 113000.0 1432.6319773090072 3397.37485359747 2.407122041260081e-05 1257.056548110447 4.141285729804542e-05 158599233876.31427 -9753631.32095467
2317.60412894104 113000.0 1436.5563906596508 3397.053824810764 2.4087700252970496e-05 1257.315736072084 4.141677090083715e-05 158537963794.44183 -9748697.603403261
2321.0432381615915 113000.0 1440.4907421160024 3396.7317929612973 2.4104226829707085e-05 1257.574810533476 4.142069747501053e-05 158476513273.56378 -9743750.372296749
2324.4823473821457 113000.0 1444.4350551364478 3396.4087546768324 2.4120800388714452e-05 1257.8337779708347 4.142463706886396e-05 158414882361.9218 -9738789.593416596
2327.921456602698 113000.0 1448.3893532101065 3396.084706573402 2.413742134884203e-05 1258.092645557053 4.142858973089606e-05 158353070153.18793 -9733815.23246353
2331.3605658232505 113000.0 1452.3536598547362 3395.7596452492353 2.4154090167326306e-05 1258.3514199703382 4.143255550988019e-05 158291076199.0777 -9728827.255057447
2334.799675043805 113000.0 1456.327998621622 3395.4335672912885 2.4170807098959467e-05 1258.6101076986818 4.1436534454785286e-05 158228899775.43036 -9723825.626737308
2338.238784264358 113000.0 1460.312393091619 3395.1064692722275 2.4187572482541472e-05 1258.8687156264373 4.1440526614813134e-05 158166540614.68875 -9718810.312961027
2341.6778934849103 113000.0 1464.3068668763153 3394.7783477500866 2.4204386803504883e-05 1259.127250809767 4.1444532039402984e-05 158103998061.10632 -9713781.279105369
2345.117002705464 113000.0 1468.311443615472 3394.4491992683074 2.4221250337568e-05 1259.385719667753 4.144855077823158e-05 158041271353.5223 -9708738.49046584
2348.556111926016 113000.0 1472.3261469833087 3394.1190203576857 2.4238163456332332e-05 1259.6441289804204 4.1452582881189884e-05 157978360297.8844 -9703681.912256602
2351.9952211465693 113000.0 1476.3510006796569 3393.7878075337408 2.425512662248909e-05 1259.9024856939322 4.145662839841563e-05 157915264089.4134 -9698611.50961034
2355.434330367123 113000.0 1480.3860284374095 3393.455557295992 2.4272140125345894e-05 1260.160796525948 4.1460687380302695e-05 157851982266.07828 -9693527.247578181
2358.8734395876754 113000.0 1484.4312540162355 3393.1222661333404 2.4289204326644746e-05 1260.4190680704578 4.1464759877435864e-05 157788514204.11523 -9688429.091129586
2362.3125488082287 113000.0 1488.486701209331 3392.7879305161014 2.4306319707342266e-05 1260.6773072029691 4.146884594068862e-05 157724859453.96664 -9683317.00515225
2365.751658028783 113000.0 1492.5523938345723 3392.4525469025252 2.4323486580936903e-05 1260.935520816338 4.147294562114403e-05 157661017237.4078 -9678190.954451988
2369.190767249336 113000.0 1496.6283557428978 3392.1161117346487 2.434070530510925e-05 1261.193715648146 4.147705897014588e-05 157596987117.73685 -9673050.903752657
2372.6298764698886 113000.0 1500.7146108106244 3391.7786214417642 2.4357976293689685e-05 1261.4518982388158 4.148118603925686e-05 157532768553.05908 -9667896.817696037
2376.068985690442 113000.0 1504.8111829480622 3391.4400724362704 2.4375299930786238e-05 1261.7100753357483 4.148532688030973e-05 157468361063.70776 -9662728.66084174
2379.508094910995 113000.0 1508.91809608927 3391.100461116385 2.439267661906636e-05 1261.9682543101496 4.148948154537473e-05 157403763675.63928 -9657546.3976671
2382.947204131548 113000.0 1513.035374197876 3390.759783865803 2.4410106746432913e-05 1262.226441443142 4.149365008676424e-05 157338976256.40756 -9652349.9925671
2386.3863133521018 113000.0 1517.1630412680097 3390.418037051838 2.4427590675580298e-05 1262.4846434329713 4.14978325570561e-05 157273998179.17282 -9647139.409854246
