# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1749.160631425155 11000.0 817.5815316615626 3060.740422935583 3.307295140895179e-05 1247.1456768050075 4.7210850981413385e-05 75476143994.05833 -13721017.898060823
1751.756831403536 11000.0 819.2850201637484 3060.5678534904023 3.312460595614883e-05 1247.5170655196907 4.721351295486092e-05 75412031425.32277 -13718893.083579693
1754.3530313819178 11000.0 820.9915495449677 3060.3947150325266 3.317662463048099e-05 1247.8881936809619 4.721618400731822e-05 75347562258.70377 -13716763.842557548
1756.9492313602996 11000.0 822.7011246737093 3060.221004280994 3.3229013508007236e-05 1248.2590764057854 4.7218864192441106e-05 75282731257.8684 -13714630.167093331
1759.545431338682 11000.0 824.413750404492 3060.046717910266 3.3281779042579844e-05 1248.629729037264 4.7221553564607165e-05 75217533804.67682 -13712492.049273362
1762.141631317063 11000.0 826.1294315787964 3059.871852550267 3.333492634810746e-05 1249.000165789014 4.722425217891578e-05 75151964711.26929 -13710349.481171377
1764.737831295445 11000.0 827.8481730269268 3059.6964048007517 3.3388462195917335e-05 1249.3704017857367 4.72269600909669e-05 75086018712.23181 -13708202.454848552
1767.3340312738262 11000.0 829.5699795633554 3059.5203711989125 3.344239355445709e-05 1249.7404537240454 4.722967735736165e-05 75019690605.74037 -13706050.962353542
1769.9302312522082 11000.0 831.2948559867218 3059.3437482503423 3.349672615081912e-05 1250.1103368260144 4.723240403522505e-05 74952974837.88853 -13703894.995722534
1772.5264312305897 11000.0 833.0228070835583 3059.166532410975 3.3551467332944144e-05 1250.480066370967 4.723514018248534e-05 74885865922.14139 -13701734.546979262
1775.1226312089714 11000.0 834.7538376240991 3058.9887200856197 3.360662381812838e-05 1250.8496595367483 4.723788585789735e-05 74818358025.79552 -13699569.60813505
1777.7188311873535 11000.0 836.4879523608834 3058.8103076362972 3.3662202871591444e-05 1251.2191326983225 4.724064112091437e-05 74750445318.62923 -13697400.171188872
1780.3150311657355 11000.0 838.2251560320146 3058.631291369469 3.3718211387215496e-05 1251.5885021085385 4.7243406031886114e-05 74682121974.19693 -13695226.228127377
1782.9112311441172 11000.0 839.9654533579014 3058.4516675488962 3.377465686611017e-05 1251.9577855672671 4.7246180651860775e-05 74613381827.84834 -13693047.770924933
1785.5074311224985 11000.0 841.7088490398601 3058.2714323798564 3.3831547235685364e-05 1252.3269997343073 4.7248965042829515e-05 74544218518.63237 -13690864.79154368
1788.1036311008793 11000.0 843.4553477643058 3058.0905820174835 3.388889039826033e-05 1252.6961626462692 4.725175926759839e-05 74474625970.27966 -13688677.28193357
1790.6998310792615 11000.0 845.2049541943707 3057.9091125592795 3.394669422231438e-05 1253.0652933605138 4.7254563389904795e-05 74404596821.94106 -13686485.234032415
1793.2960310576425 11000.0 846.9576729750261 3057.727020052698 3.400496664430833e-05 1253.4344081286663 4.725737747430103e-05 74334125368.33101 -13684288.639765957
1795.8922310360244 11000.0 848.7135087354109 3057.54430048465 3.4063716225612864e-05 1253.8035259024668 4.726020158631727e-05 74263204216.84515 -13682087.49104788
1798.4884310144068 11000.0 850.4724660785869 3057.360949783814 3.412295159558831e-05 1254.1726668052538 4.726303579242667e-05 74191826339.5997 -13679881.779779894
1801.0846309927879 11000.0 852.2345495880581 3057.1769638206893 3.418268209301834e-05 1254.5418494829516 4.726588016004535e-05 74119984529.89113 -13677671.497851785
1803.68083097117 11000.0 853.999763824977 3056.9923384001245 3.424291650730199e-05 1254.9110937565313 4.726873475764878e-05 74047671271.27715 -13675456.63714146
1806.2770309495513 11000.0 855.7681133272126 3056.8070692704046 3.430366366648487e-05 1255.280419620875 4.727159965463216e-05 73974878876.49075 -13673237.189515024
1808.8732309279326 11000.0 857.5396026093513 3056.621152112017 3.4364933967604236e-05 1255.649847573184 4.7274474921484946e-05 73901599962.28471 -13671013.14682682
1811.4694309063145 11000.0 859.3142361608334 3056.434582536961 3.442673723542241e-05 1256.0193986059292 4.727736062980257e-05 73827826173.26999 -13668784.500919513
1814.065630884697 11000.0 861.0920184459537 3056.2473560933213 3.448908291175984e-05 1256.3890935457148 4.728025685221655e-05 73753549265.10567 -13666551.243624134
1816.661830863078 11000.0 862.8729539038613 3056.0594682593114 3.455198191109701e-05 1256.758954367315 4.728316366248764e-05 73678761306.05716 -13664313.366760164
1819.2580308414606 11000.0 864.6570469448343 3055.870914438823 3.461544507375229e-05 1257.129003359663 4.728608113557566e-05 73603452675.44821 -13662070.86213559
1821.8542308198416 11000.0 866.4443019526079 3055.681689961494 3.4679483193529463e-05 1257.4992641096699 4.728900934763951e-05 73527615677.21117 -13659823.72154699
1824.450430798224 11000.0 868.2347232778557 3055.4917900880396 3.4744107625956675e-05 1257.8697580492108 4.729194837595569e-05 73451240603.92438 -13657571.9367796
1827.046630776605 11000.0 870.0283152502961 3055.301209993774 3.4809329912322306e-05 1258.2405092229321 4.729489829917438e-05 73374318079.89119 -13655315.49960738
1829.6428307549872 11000.0 871.8250821586698 3055.109944780721 3.4875161942377925e-05 1258.6115429341812 4.729785919713322e-05 73296838531.44841 -13653054.401793113
1832.2390307333683 11000.0 873.6250282665715 3054.9179894664 3.4941616482289164e-05 1258.9828833194051 4.730083115103189e-05 73218791861.82254 -13650788.63508847
1834.8352307117502 11000.0 875.4281577994116 3054.725338982403 3.500870593419886e-05 1259.3545556109589 4.730381424345542e-05 73140168447.41447 -13648518.191234116
1837.4314306901317 11000.0 877.2344749537297 3054.531988176731 3.507644331146621e-05 1259.7265853316285 4.730680855833925e-05 73060957493.17342 -13646243.061959762
